variant,block,xscore_mean,xscore_std,usage_active,usage_max,usage_min,usage_std,entropy_norm,router_scale
full,b0,0.1089,0.0286,14.39,0.2943,0.0002,0.0837,0.7181,5.6534
full,b1,0.0474,0.0116,21.26,0.3435,0.0,0.0713,0.5845,6.1893
full,b2,0.0326,0.0174,59.67,0.1859,0.0,0.0319,0.7227,6.4476
full,b3,0.0134,0.0054,115.12,0.1702,0.0,0.0219,0.681,5.8347
full,b4,0.0813,0.0157,16.0,0.2239,0.0018,0.0604,0.8466,6.0675
full,b5,0.0468,0.016,28.77,0.2856,0.0,0.0628,0.6352,5.8145
full,b6,0.0247,0.0108,57.03,0.1984,0.0,0.0345,0.6848,5.9581
full,b7,0.0127,0.0066,105.9,0.2352,0.0,0.0266,0.6193,6.5081
A1_refine_off,b0,0.0809,0.0078,15.49,0.3249,0.0002,0.0882,0.715,5.5248
A1_refine_off,b1,0.0449,0.0107,21.53,0.3419,0.0,0.0729,0.5678,6.2361
A1_refine_off,b2,0.0307,0.015,60.97,0.187,0.0,0.0324,0.7218,6.4131
A1_refine_off,b3,0.013,0.0045,109.57,0.1597,0.0,0.0216,0.6704,5.7805
A1_refine_off,b4,0.0782,0.0126,16.0,0.2016,0.0037,0.0547,0.8695,6.1027
A1_refine_off,b5,0.0433,0.0101,28.01,0.2359,0.0,0.0543,0.6856,5.9034
A1_refine_off,b6,0.0243,0.0088,59.61,0.2288,0.0,0.0372,0.6736,5.9911
A1_refine_off,b7,0.0124,0.0052,100.2,0.2093,0.0,0.0249,0.628,6.54
A2_v1_hardsort,b0,0.0633,0.0007,15.88,0.255,0.0014,0.071,0.7959,4.9298
A2_v1_hardsort,b1,0.0324,0.0009,27.5,0.2477,0.0,0.0565,0.6746,4.9496
A2_v1_hardsort,b2,0.0164,0.0006,60.7,0.177,0.0,0.0303,0.7401,5.0846
A2_v1_hardsort,b3,0.0084,0.0005,117.13,0.1468,0.0,0.0195,0.713,4.3111
A2_v1_hardsort,b4,0.0642,0.0012,16.0,0.2202,0.0026,0.0576,0.859,5.2825
A2_v1_hardsort,b5,0.0324,0.0007,25.09,0.1959,0.0,0.0476,0.7279,5.1898
A2_v1_hardsort,b6,0.0163,0.0006,58.61,0.2136,0.0,0.0366,0.6625,4.7703
A2_v1_hardsort,b7,0.0083,0.0005,111.43,0.1731,0.0,0.0228,0.6559,5.2382
A2_v2_confsort,b0,0.0633,0.0006,15.96,0.2509,0.002,0.0694,0.8058,4.9292
A2_v2_confsort,b1,0.0324,0.0008,27.4,0.2407,0.0,0.0558,0.6778,4.9534
A2_v2_confsort,b2,0.0164,0.0005,60.71,0.1793,0.0,0.0305,0.7388,5.0881
A2_v2_confsort,b3,0.0084,0.0005,117.12,0.1545,0.0,0.0201,0.7068,4.3231
A2_v2_confsort,b4,0.0642,0.0012,16.0,0.226,0.0022,0.0588,0.8547,5.2769
A2_v2_confsort,b5,0.0324,0.0007,24.88,0.1968,0.0,0.0479,0.7241,5.2087
A2_v2_confsort,b6,0.0163,0.0006,58.52,0.2271,0.0,0.0375,0.6585,4.8111
A2_v2_confsort,b7,0.0082,0.0005,112.42,0.183,0.0,0.0234,0.6496,5.2575
A2_v3_scoregate,b0,0.0699,0.0025,8.84,0.5264,0.0,0.1419,0.4247,5.25
A2_v3_scoregate,b1,0.0478,0.0118,20.97,0.3474,0.0,0.0722,0.5752,6.1799
A2_v3_scoregate,b2,0.0405,0.0244,61.58,0.146,0.0,0.0268,0.7677,6.3651
A2_v3_scoregate,b3,0.0185,0.0128,102.23,0.1996,0.0,0.0267,0.5765,5.8402
A2_v3_scoregate,b4,0.0754,0.0114,15.99,0.2782,0.0027,0.0754,0.7833,6.0369
A2_v3_scoregate,b5,0.0431,0.0112,30.72,0.3341,0.0,0.0657,0.6532,5.8138
A2_v3_scoregate,b6,0.0259,0.0109,55.7,0.308,0.0,0.0508,0.5153,5.8873
A2_v3_scoregate,b7,0.0145,0.0094,71.22,0.237,0.0,0.0303,0.5149,6.4258
A3_balance_off,b0,0.1373,0.0417,12.51,0.3369,0.0,0.0966,0.6482,5.7115
A3_balance_off,b1,0.0537,0.0143,23.72,0.3741,0.0,0.0757,0.5655,6.2507
A3_balance_off,b2,0.0387,0.0202,57.49,0.2055,0.0,0.0345,0.6947,6.5374
A3_balance_off,b3,0.0162,0.0072,101.97,0.2024,0.0,0.0251,0.6268,5.9483
A3_balance_off,b4,0.0893,0.0187,15.43,0.3223,0.0001,0.0885,0.7088,6.0999
A3_balance_off,b5,0.0556,0.0217,18.9,0.344,0.0,0.0706,0.5764,5.8589
A3_balance_off,b6,0.0274,0.0126,54.97,0.2349,0.0,0.0398,0.6279,6.0222
A3_balance_off,b7,0.0158,0.0088,94.98,0.3295,0.0,0.0343,0.5332,6.5492
