# DPRNet self-tested PSNR/SSIM (Y channel), authoritative source for Table I "DPRNet (ours)" rows.
# Transcribed verbatim from the original test logs (see source_log). Use THIS file, not the raw logs.
# Unified report checkpoint per scale (no per-dataset cherry-picking): x2=net_g_792500, x3/x4=net_g_250000.
# crop_border = scale (2/3/4), test_y_channel=true.
scale,checkpoint,dataset,psnr,ssim,crop_border,source_log
x2,net_g_792500,Set5,38.2906,0.9617,2,CATANet/results/CATANet/test_CATANet_x2-792500/test_test_CATANet_x2_20260606_154428.log
x2,net_g_792500,Set14,34.0614,0.9220,2,CATANet/results/CATANet/test_CATANet_x2-792500/test_test_CATANet_x2_20260606_154428.log
x2,net_g_792500,B100,32.3809,0.9031,2,CATANet/results/CATANet/test_CATANet_x2-792500/test_test_CATANet_x2_20260606_154428.log
x2,net_g_792500,Urban100,33.1500,0.9372,2,CATANet/results/CATANet/test_CATANet_x2-792500/test_test_CATANet_x2_20260606_154428.log
x2,net_g_792500,Manga109,39.3804,0.9789,2,CATANet/results/CATANet/test_CATANet_x2-792500/test_test_CATANet_x2_20260606_154428.log
x3,net_g_250000,Set5,34.7629,0.9301,3,CATANet/results/CATANet/test_CATANet_x3-250000/test_test_CATANet_x3_20260608_221117.log
x3,net_g_250000,Set14,30.6699,0.8481,3,CATANet/results/CATANet/test_CATANet_x3-250000/test_test_CATANet_x3_20260608_221117.log
x3,net_g_250000,B100,29.2890,0.8103,3,CATANet/results/CATANet/test_CATANet_x3-250000/test_test_CATANet_x3_20260608_221117.log
x3,net_g_250000,Urban100,29.0551,0.8689,3,CATANet/results/CATANet/test_CATANet_x3-250000/test_test_CATANet_x3_20260608_221117.log
x3,net_g_250000,Manga109,34.4133,0.9499,3,CATANet/results/CATANet/test_CATANet_x3-250000/test_test_CATANet_x3_20260608_221117.log
x4,net_g_250000,Set5,32.5896,0.9002,4,CATANet/results/CATANet/test_CATANet_x4-250000/test_test_CATANet_x4_20260608_231742.log
x4,net_g_250000,Set14,28.9146,0.7883,4,CATANet/results/CATANet/test_CATANet_x4-250000/test_test_CATANet_x4_20260608_231742.log
x4,net_g_250000,B100,27.7648,0.7434,4,CATANet/results/CATANet/test_CATANet_x4-250000/test_test_CATANet_x4_20260608_231742.log
x4,net_g_250000,Urban100,26.8925,0.8089,4,CATANet/results/CATANet/test_CATANet_x4-250000/test_test_CATANet_x4_20260608_231742.log
x4,net_g_250000,Manga109,31.3240,0.9181,4,CATANet/results/CATANet/test_CATANet_x4-250000/test_test_CATANet_x4_20260608_231742.log
