bin_left,bin_right,count_b0,count_b1,count_b2,count_b3,count_b4,count_b5,count_b6,count_b7
0.0000,0.0200,0,0,908295,4562707,0,0,2189170,4465007
0.0200,0.0400,0,1896921,3238957,266164,0,2488468,2410486,305965
0.0400,0.0600,0,2548874,460040,9887,0,1750711,160906,47137
0.0600,0.0800,784532,284214,128539,650,3383995,377015,43034,11836
0.0800,0.1000,1532518,62458,48503,45,1109016,130247,16892,4234
0.1000,0.1200,1118578,23276,22326,6,234259,56184,8603,2151
0.1200,0.1400,748122,10810,11688,1,70001,22765,4535,1246
0.1400,0.1600,320917,5439,6793,0,24338,8961,2501,749
0.1600,0.1800,143574,2745,4309,0,9901,3479,1413,496
0.1800,0.2000,77307,1558,2796,0,4264,1125,835,293
0.2000,0.2200,48244,909,1817,0,1945,370,474,133
0.2200,0.2400,19211,629,1363,0,921,107,247,143
0.2400,0.2600,18509,430,970,0,451,25,138,55
0.2600,0.2800,11548,324,726,0,204,2,90,14
0.2800,0.3000,6984,267,561,0,92,1,47,0
0.3000,0.3200,2780,188,377,0,50,0,26,0
0.3200,0.3400,1928,135,325,0,9,0,14,1
0.3400,0.3600,1044,110,219,0,10,0,14,0
0.3600,0.3800,761,52,194,0,4,0,5,0
0.3800,0.4000,601,52,145,0,0,0,5,0
0.4000,0.4200,640,39,121,0,0,0,6,0
0.4200,0.4400,851,13,78,0,0,0,4,0
0.4400,0.4600,338,10,73,0,0,0,4,0
0.4600,0.4800,182,4,55,0,0,0,7,0
0.4800,0.5000,126,1,42,0,0,0,2,0
0.5000,0.5200,62,1,38,0,0,0,1,0
0.5200,0.5400,36,1,28,0,0,0,0,0
0.5400,0.5600,22,0,18,0,0,0,1,0
0.5600,0.5800,17,0,18,0,0,0,0,0
0.5800,0.6000,16,0,17,0,0,0,0,0
0.6000,0.6200,8,0,10,0,0,0,0,0
0.6200,0.6400,3,0,7,0,0,0,0,0
0.6400,0.6600,1,0,3,0,0,0,0,0
0.6600,0.6800,0,0,6,0,0,0,0,0
0.6800,0.7000,0,0,3,0,0,0,0,0
0.7000,0.7200,0,0,0,0,0,0,0,0
0.7200,0.7400,0,0,0,0,0,0,0,0
0.7400,0.7600,0,0,0,0,0,0,0,0
0.7600,0.7800,0,0,0,0,0,0,0,0
0.7800,0.8000,0,0,0,0,0,0,0,0
0.8000,0.8200,0,0,0,0,0,0,0,0
0.8200,0.8400,0,0,0,0,0,0,0,0
0.8400,0.8600,0,0,0,0,0,0,0,0
0.8600,0.8800,0,0,0,0,0,0,0,0
0.8800,0.9000,0,0,0,0,0,0,0,0
0.9000,0.9200,0,0,0,0,0,0,0,0
0.9200,0.9400,0,0,0,0,0,0,0,0
0.9400,0.9600,0,0,0,0,0,0,0,0
0.9600,0.9800,0,0,0,0,0,0,0,0
0.9800,1.0000,0,0,0,0,0,0,0,0
