iter,train_timestamp,train_epoch,lr_g,lr_route,l_pix,l_route,time_sec,data_time_sec,set5_timestamp,set5_psnr,set5_ssim,set5_best_psnr,set5_best_psnr_iter,set5_best_ssim,set5_best_ssim_iter,set14_timestamp,set14_psnr,set14_ssim,set14_best_psnr,set14_best_psnr_iter,set14_best_ssim,set14_best_ssim_iter,set5_route_usage_active_mean,set5_route_usage_max_mean,set5_route_usage_std_mean,set5_route_entropy_norm_mean,set5_route_router_scale_mean,set5_route_xscore_mean_mean,set5_route_xscore_std_mean,set5_route_blocks,set14_route_usage_active_mean,set14_route_usage_max_mean,set14_route_usage_std_mean,set14_route_entropy_norm_mean,set14_route_router_scale_mean,set14_route_xscore_mean_mean,set14_route_xscore_std_mean,set14_route_blocks,train_source_log,set5_source_log,set14_source_log
2500,"2026-06-07 00:37:12,158",1,0.0002,2e-05,0.021903,5.8462e-07,0.514,0.0,"2026-06-07 00:38:08,843",32.4194,0.8983,32.4194,2500,0.8983,2500,"2026-06-07 00:38:26,050",28.7987,0.7858,28.7987,2500,0.7858,2500,41.9,0.252725,0.0528625,0.6456375,5.9548,0.0411125,0.009537499999999999,8,44.8124875,0.2926625,0.0569,0.6279125,5.9548,0.041125,0.00985,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
5000,"2026-06-07 00:59:53,140",3,0.0002,2e-05,0.030741,1.1012e-06,0.514,0.001,"2026-06-07 00:59:55,852",32.4347,0.898,32.4347,5000,0.8983,2500,"2026-06-07 01:00:08,541",28.8097,0.7859,28.8097,5000,0.7859,5000,42.2,0.2469625,0.0525125,0.6501375,5.9539375,0.0409875,0.0093875,8,44.875,0.282775,0.0558,0.63275,5.9539375,0.040825,0.0097875,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
7500,"2026-06-07 01:20:42,203",5,0.0002,2e-05,0.027162,1.09e-06,0.512,0.0,"2026-06-07 01:21:36,272",32.4825,0.8988,32.4825,7500,0.8988,7500,"2026-06-07 01:21:49,179",28.814,0.7863,28.814,7500,0.7863,7500,40.3,0.259575,0.053,0.641725,5.953825,0.0422375,0.010324999999999999,8,43.9553625,0.2809375,0.055675,0.6289375,5.953825,0.0420125,0.0108625,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
10000,"2026-06-07 01:43:15,648",7,0.0002,2e-05,0.023027,8.7024e-07,0.514,0.001,"2026-06-07 01:43:18,458",32.4763,0.8989,32.4825,7500,0.8989,10000,"2026-06-07 01:43:31,826",28.817,0.7866,28.817,10000,0.7866,10000,40.625,0.256375,0.0520375,0.64645,5.9540625,0.0414375,0.0094625,8,43.9374875,0.283225,0.055975,0.625,5.9540625,0.0413375,0.01005,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
12500,"2026-06-07 02:04:08,124",9,0.0002,2e-05,0.023181,8.9682e-07,0.513,0.0,"2026-06-07 02:05:02,528",32.4908,0.8991,32.4908,12500,0.8991,12500,"2026-06-07 02:05:15,740",28.8324,0.7868,28.8324,12500,0.7868,12500,41.325,0.26125,0.053175,0.6425500000000001,5.95405,0.0416875,0.009625,8,43.678575,0.28268750000000004,0.0559875,0.6241625,5.95405,0.04165,0.0101875,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
15000,"2026-06-07 02:26:43,564",11,0.0002,2e-05,0.026581,1.4283e-06,0.514,0.001,"2026-06-07 02:26:46,477",32.4734,0.8986,32.4908,12500,0.8991,12500,"2026-06-07 02:26:59,885",28.8405,0.7864,28.8405,15000,0.7868,12500,40.7,0.257025,0.0534,0.6407875,5.9541625,0.0419125,0.00985,8,44.196425,0.290025,0.0555375,0.627775,5.9541625,0.041925000000000004,0.0104625,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
17500,"2026-06-07 02:47:37,217",13,0.0002,2e-05,0.022082,9.3527e-07,0.514,0.0,"2026-06-07 02:48:31,599",32.4733,0.8991,32.4908,12500,0.8991,12500,"2026-06-07 02:48:45,078",28.8166,0.7874,28.8405,15000,0.7874,17500,40.8,0.265025,0.0543875,0.631525,5.9541875,0.04245,0.0105375,8,44.794650000000004,0.28959999999999997,0.0563125,0.625925,5.9541875,0.0421375,0.01055,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
20000,"2026-06-07 03:10:13,804",15,0.0002,2e-05,0.026147,1.0527e-06,0.514,0.001,"2026-06-07 03:10:16,679",32.4686,0.8989,32.4908,12500,0.8991,12500,"2026-06-07 03:10:30,071",28.817,0.7873,28.8405,15000,0.7874,17500,42.575,0.249725,0.052512500000000004,0.6521,5.955175,0.0426875,0.0107125,8,46.48215,0.27397499999999997,0.054025000000000004,0.6421749999999999,5.955175,0.0422875,0.010750000000000001,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
22500,"2026-06-07 03:31:06,808",17,0.0002,2e-05,0.023534,1.1356e-06,0.514,0.0,"2026-06-07 03:32:01,173",32.5108,0.8994,32.5108,22500,0.8994,22500,"2026-06-07 03:32:14,578",28.8393,0.7874,28.8405,15000,0.7874,22500,40.475,0.2791625,0.056775,0.6201375,5.9554375,0.0426125,0.0103375,8,44.4285625,0.3040375,0.058124999999999996,0.6143125,5.9554375,0.042175000000000004,0.010750000000000001,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
25000,"2026-06-07 03:53:43,884",19,0.0002,2e-05,0.021885,1.2139e-06,0.515,0.002,"2026-06-07 03:53:46,721",32.4626,0.899,32.5108,22500,0.8994,22500,"2026-06-07 03:53:59,892",28.8219,0.7874,28.8405,15000,0.7874,22500,41.525,0.25703750000000003,0.053225,0.642325,5.9560625,0.042499999999999996,0.010225,8,45.08035,0.2890625,0.0562875,0.6261875,5.9560625,0.0427125,0.011412499999999999,8,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log,train_train_CATANet_x4_finetune_20260607_001632.log
